"","Sector","Company","sentiment_bins","mean_sentiments"
"1414","Financial","Invesco","Hold",0.6046625
"1415","Consumer Goods","Lenovo Group",NA,NA
"1416","Consumer Goods","Arkema SA",NA,NA
"1417","Financial","Stockland",NA,NA
"1418","Industrial Goods","Sime Darby Plantation Bhd",NA,NA
"1419","Consumer Goods","Wayfair","Moderate_buy",0.6863875
"1420","Financial","Ascendas Real Estate Investment",NA,NA
"1421","Materials","Anglogold Ashanti",NA,NA
"1422","Utilities","Singapore Airlines",NA,NA
"1423","Industrial Goods","Singapore Airlines",NA,NA
"1424","Services","NagaCorp",NA,NA
"1425","Industrial Goods","AO Smith","Strong_sell",0.246725
"1426","Financial","SCOR SE",NA,NA
"1427","Financial","Bank of the Philippine Islands",NA,NA
"1428","Financial","Erie Indemnity Company","Moderate_sell",0.436575
"1429","Consumer Goods","Bruker","Moderate_sell",0.35255
"1430","Financial","Voya Financial","Moderate_sell",0.4494375
"1431","Utilities","Manila Electric Co",NA,NA
"1432","Materials","Reliance Steel","Moderate_buy",0.6294
"1433","Consumer Goods","Pilgrim's Pride","Hold",0.4677
"1434","Industrial Goods","AGC",NA,NA
"1435","Technology","Tim Participacoes",NA,NA
"1436","Consumer Goods","Under Armour","Hold",0.4627
"1437","Technology","58.com",NA,NA
"1438","Services","Carnival","Moderate_sell",0.3123
"1439","Industrial Goods","thyssenkrupp AG",NA,NA
"1440",NA,"CCL Industries",NA,NA
"1441","Financial","Swiss Prime Site AG",NA,NA
"1442","Consumer Goods","Disco",NA,NA
"1443","Healthcare","H Lundbeck",NA,NA
"1444","Services","Genpact","Moderate_buy",0.643175
"1445","Financial","Douglas Emmett","Moderate_sell",0.37505
"1446","Technology","Xero",NA,NA
"1447","Healthcare","Fisher & Paykel Healthcare",NA,NA
"1448","Services","Genting Singapore",NA,NA
"1449","Utilities","Meridian Energy",NA,NA
"1450","Financial","Nedbank Group",NA,NA
"1451","Materials","Royal Gold","Moderate_sell",0.36875
"1452","Services","Bid",NA,NA
"1453","Technology","Dropbox","Moderate_buy",0.6845
"1454","Services","Qantas Airways",NA,NA
"1455","Industrial Goods","Petronas Gas Bhd",NA,NA
"1456","Utilities","Aurizon Holdings",NA,NA
"1457","Financial","Azrieli Group",NA,NA
"1458","Financial","China Cinda Asset Management Co",NA,NA
"1459","Services","XPO Logistics",NA,NA
"1460","Utilities","Manila Electric Company",NA,NA
"1461","Technology","Trend Micro","Moderate_sell",0.4375
"1462","Consumer Goods","San Miguel",NA,NA
"1463","Healthcare","Catalent",NA,NA
"1464","Healthcare","Amarin","Hold",0.4836
"1465","Industrial Goods","TAISEI",NA,NA
"1466","Materials","Hitachi Chemical Company",NA,NA
"1467","Services","News","Moderate_buy",0.656175
"1468","Materials","Grupo Carso SAB de CV 1",NA,NA
"1469","Utilities","United Utilities",NA,NA
"1470","Healthcare","Santen Pharmaceutical Co",NA,NA
"1471","Financial","China International Capital",NA,NA
"1472","Consumer Goods","Bunge","Strong_sell",0.260075
"1473","Consumer Goods","IPG Photonics","Moderate_sell",0.36105
"1474","General","Oil Search",NA,NA
"1475","Materials","Oil Search",NA,NA
"1476","Materials","Hitachi Chemical Company",NA,NA
"1477","Services","Haier Electronics Group Co",NA,NA
"1478","Technology","Shimadzu",NA,NA
"1479","Services","GCI Liberty",NA,NA
"1480","Consumer Goods","SWATCH",NA,NA
"1481","Materials","Vedanta",NA,NA
"1482","Services","Kohl's","Hold",0.549825
"1483","Services","Vipshop","Hold",0.5535875
"1484","Consumer Goods","Post Holdings",NA,NA
"1485","Financial","LPL Financial","Moderate_sell",0.42465
"1486","Technology","Hitachi High-Technologies",NA,NA
"1487","Materials","Remgro",NA,NA
"1488","Industrial Goods","Pentair",NA,NA
"1489","Technology","Dynatrace",NA,NA
"1490","Financial","Banca Mediolanum SpA",NA,NA
"1491","Services","Tapestry","Moderate_sell",0.3623125
"1492","Consumer Goods","Li Ning Company",NA,NA
"1493","Healthcare","Demant",NA,NA
"1494","Industrial Goods","El Puerto de Liverpool SAB de CV",NA,NA
"1495","Financial","LendLease Group",NA,NA
"1496","Consumer Goods","Berkeley Group",NA,NA
"1497","Technology","Alteryx","Moderate_sell",0.434725
"1498","Industrial Goods","PT Charoen Pokphand Indonesia Tbk",NA,NA
"1499","Utilities","Huaneng Power International",NA,NA
"1500","Materials","Husky Energy",NA,NA
"1501","Financial","Land Securities Group","Hold",0.5
"1502","Consumer Goods","Johnson Matthey",NA,NA
"1503","Services","Yamaha Motor Co",NA,NA
"1504","Financial","People's United Financial",NA,NA
"1505","Financial","RSA Insurance",NA,NA
"1506","Financial","Lendlease Group",NA,NA
"1507","Financial","Daiwa",NA,NA
"1508","Materials","Owens Corning","Hold",0.502375
"1509","Healthcare","Guardant Health",NA,NA
"1510","Industrial Goods","Lear","Hold",0.527325
"1511","Materials","JFE Holdings",NA,NA
"1512","Consumer Goods","Logitech",NA,NA
"1513","Industrial Goods","Canadian Tire",NA,NA
"1514","Materials","Steel Dynamics","Strong_sell",0.222925
"1515","Financial","Choice Properties Real Estate Investment",NA,NA
"1516","Utilities","Osaka Gas Co",NA,NA
"1517","Consumer Goods","PT Gudang Garam Tbk",NA,NA
"1518","Utilities","Algonquin Power & Utilities",NA,NA
"1519","Technology","Nutanix","Hold",0.498125
"1520","Consumer Goods","a2 Milk Company",NA,NA
"1521","Healthcare","FSD Pharma",NA,NA
"1522","Consumer Goods","Mosaic Co","Strong_sell",0.25335
"1523","Industrial Goods","Woodward",NA,NA
"1524","Financial","Woori Finance Holdings Co",NA,NA
"1525","Financial","Commerzbank AG","Hold",0.4821375
"1526","Financial","Americold Realty",NA,NA
"1527","Industrial Goods","Sumitomo Chemical Co",NA,NA
"1528","Materials","Norsk Hydro",NA,NA
"1529","Materials","Daifuku Co",NA,NA
"1530","Financial","Commerce Bancshares",NA,NA
"1531","Consumer Goods","PVH","Moderate_buy",0.70735
"1532","Materials","James Hardie Industries Chess Units of Foreign Securities",NA,NA
"1533","Consumer Goods","Flir Systems",NA,NA
"1534","Industrial Goods","Gentex",NA,NA
"1535","Technology","Tradeweb Markets","Strong_sell",0.2614
"1536","Technology","UBISOFT Entertainment","Hold",0.51
"1537","Consumer Goods","AptarGroup",NA,NA
"1538","Technology","Hellenic Telecom Organization SA",NA,NA
"1539","Healthcare","Hill-Rom","Moderate_sell",0.423925
"1540","Utilities","Auckland International Airport",NA,NA
"1541","Financial","First American Financial","Hold",0.5055
"1542","Consumer Goods","CAE","Hold",0.5971375
"1543","Services","Auckland International Airport",NA,NA
"1544","Technology","Rightmove","Hold",0.6
"1545","Industrial Goods","Autoliv","Hold",0.559725
"1546","Technology","Anaplan","Moderate_buy",0.72215
"1547","Financial","Amerco",NA,NA
"1548","Services","Charles River Labs","Hold",0.45985
"1549","Utilities","Qantas Airways",NA,NA
"1550","Consumer Goods","Donaldson Company",NA,NA
"1551","Financial","Wharf (Holdings)",NA,NA
"1552","Healthcare","Shanghai Fosun Pharmaceutical (Group) Co",NA,NA
"1553","Consumer Goods","Elbit Systems","Hold",0.6041625
"1554","Financial","Turkiye Garanti Bankasi AS",NA,NA
"1555","Financial","CyrusOne",NA,NA
"1556","Financial","Hulic Co",NA,NA
"1557","Financial","Owl Rock Capital",NA,NA
"1558","Technology","Electrolux AB",NA,NA
"1559","Financial","City Developments",NA,NA
"1560","Financial","Singapore Exchange",NA,NA
"1561","Industrial Goods","Metso","Moderate_sell",0.375
"1562","Services","The Stars Group",NA,NA
"1563","Materials","United Co RUSAL",NA,NA
"1564","Healthcare","Arrowhead Research","Hold",0.6004625
"1565","Consumer Goods","Monolithic Power",NA,NA
"1566","Healthcare","ACADIA Pharmaceuticals","strong_buy",0.764125
"1567","Healthcare","Perrigo Company",NA,NA
"1568","Services","Encompass Health","Moderate_sell",0.409325
"1569","Services","Nielsen Holdings","Moderate_sell",0.42585
"1570","Financial","SL Green Realty",NA,NA
"1571","Consumer Goods","BRF SA","Hold",0.508075
"1572","Utilities","Tokyo Electric Power Company Holdings",NA,NA
"1573","Consumer Goods","Albemarle",NA,NA
"1574","Industrial Goods","Gardner Denver Holdings",NA,NA
"1575","Materials","China Molybdenum Co",NA,NA
"1576","Materials","Inter Pipeline",NA,NA
"1577","Financial","Starwood Property","Moderate_sell",0.43215
"1578","Industrial Goods","WABCO Holdings","Moderate_buy",0.612525
"1579","Financial","The British Land Company","Hold",0.495
"1580","Consumer Goods","Dolby Laboratories",NA,NA
"1581","Financial","Bank of East Asia",NA,NA
"1582","Healthcare","Santen Pharmaceutical Co",NA,NA
"1583","Services","Five Below","Moderate_buy",0.6659375
"1584","Consumer Goods","Leggett & Platt","Hold",0.477775
"1585","Services","Chemed","Hold",0.4987
"1586","Healthcare","PRA Health Sciences",NA,NA
"1587","Consumer Goods","Nissin Foods Holdings Co",NA,NA
"1588","Technology","Semiconductor Manufacturing International",NA,NA
"1589","Industrial Goods","Adt",NA,NA
"1590","Financial","IGM Financial","Moderate_sell",0.375
"1591","Financial","Singapore Exchange",NA,NA
"1592","Financial","Old Republic International","Hold",0.5923
"1593","Services","Great Wall Motor Co",NA,NA
"1594","Financial","Vicinity Centres",NA,NA
"1595","Financial","CapitaLand Mall",NA,NA
"1596","Services","Robert Half","Moderate_sell",0.32225
"1597","Materials","Aecom Technology","Moderate_sell",0.4065375
"1598","Financial","Turkiye Garanti Bankasi Anonim Sirketi",NA,NA
"1599","Utilities","Jiangsu Expressway Co",NA,NA
"1600","Services","Royal Vopak",NA,NA
"1601","Financial","Signature Bank",NA,NA
"1602","Healthcare","Moderna","Moderate_sell",0.375
"1603","Industrial Goods","Watsco",NA,NA
"1604","Healthcare","Dr Reddy's Laboratories",NA,NA
"1605","Industrial Goods","CIMIC Group",NA,NA
"1606","Industrial Goods","Kajima",NA,NA
"1607","Healthcare","Medicines Co","Moderate_buy",0.6332
"1608","Services","Madison Square Garden Co","Hold",0.563525
"1609","Healthcare","Mitsubishi Tanabe Pharma",NA,NA
"1610","Services","Morningstar","Moderate_sell",0.4506
"1611","Consumer Goods","Hexcel",NA,NA
"1612","Services","Herbalife",NA,NA
"1613","Healthcare","Sumitomo Dainippon Pharma Co",NA,NA
"1614","Materials","Indorama Ventures",NA,NA
"1615","Technology","Proofpoint","Hold",0.58185
"1616","Financial","Pargesa Holding SA",NA,NA
"1617","Consumer Goods","Axalta Coating Systems","Moderate_sell",0.346025
"1618","Financial","East West Bancorp",NA,NA
"1619","Services","Sekisui Chemical Co",NA,NA
"1620","Services","JUST EAT",NA,NA
"1621","Financial","Bank of East Asia",NA,NA
"1622","Consumer Goods","Leonardo SpA",NA,NA
"1623","Technology","Zscaler","Hold",0.5584375
"1624","Consumer Goods","Ingenico Group",NA,NA
"1625","Industrial Goods","China Oilfield Services",NA,NA
"1626","Financial","Prosperity Bancshares",NA,NA
"1627","Financial","BOC Aviation",NA,NA
"1628","Industrial Goods","Clariant AG",NA,NA
"1629","Services","HD Supply Holdings",NA,NA
"1630","Financial","American Campus",NA,NA
"1631","Consumer Goods","Levi Strauss & Co","Moderate_sell",0.397975
"1632","Services","Mcdonalds Holdings Company Japan",NA,NA
"1633","Services","HOSHIZAKI",NA,NA
"1634","Technology","Paylocity","Hold",0.478
"1635","Consumer Goods","Universal Robina",NA,NA
"1636","Industrial Goods","Obayashi",NA,NA
"1637","Financial","Brixmor Property","Hold",0.6037
"1638","Consumer Goods","Mitsubishi Motors",NA,NA
"1639","Financial","TCF Financial","Hold",0.485
"1640","Materials","China Shenhua Energy Company",NA,NA
"1641","Technology","Interxion Holding","Strong_sell",0.300575
"1642","Services","Pearson","Hold",0.4925
"1643","Financial","MERLIN Properties SOCIMI SA",NA,NA
"1644","Materials","Cabot Oil & Gas","Hold",0.50235
"1645","Financial","RioCan Real Estate Investment",NA,NA
"1646","Services","CDK Global",NA,NA
"1647","Industrial Goods","The Middleby",NA,NA
"1648","Services","Arrow Electronics","Moderate_sell",0.339275
"1649","Services","Tabcorp Holdings",NA,NA
"1650","Consumer Goods","Canopy Growth","Moderate_sell",0.3687625
"1651","Consumer Goods","Tata Motors",NA,NA
"1652","Services","LATAM Airlines",NA,NA
"1653","Technology","HubSpot",NA,NA
"1654","Technology","Trend Micro",NA,NA
"1655","Services","CD Projekt SA",NA,NA
"1656","Materials","TOTO",NA,NA
"1657","Utilities","Infraestructura Energetica Nova SAB de CV",NA,NA
"1658","Financial","Banque Cantonale Vaudoise",NA,NA
"1659","Financial","New Residential Inv",NA,NA
"1660","Industrial Goods","ZOZO",NA,NA
"1661","Services","TravelSky Technology",NA,NA
"1662","Services","Genesee & Wyoming",NA,NA
"1663","Consumer Goods","Becle Sab De Cv",NA,NA
"1664","Healthcare","Reata Pharmaceuticals",NA,NA
"1665","Services","Casey's General","Hold",0.532575
"1666","Materials","First Quantum Minerals","Moderate_sell",0.375
"1667","Consumer Goods","Entegris",NA,NA
"1668","Consumer Goods","Mellanox","Moderate_sell",0.370825
"1669","Industrial Goods","Flowserve","Moderate_sell",0.403925
"1670","Industrial Goods","Orica",NA,NA
"1671","Consumer Goods","Semiconductor Manufacturing",NA,NA
"1672","Services","Quebecor",NA,NA
"1673","Consumer Goods","ITO EN",NA,NA
"1674","Services","Dunkin' Brands","Hold",0.4781125
"1675","Financial","Unum Group","Hold",0.50625
"1676","Technology","Wisetech Global",NA,NA
"1677","Technology","Hamamatsu Photonics KK",NA,NA
"1678","Services","Knight Transportation","Moderate_sell",0.3671
"1679","Technology","Elastic","Hold",0.479775
"1680","Consumer Goods","Skechers USA","Moderate_sell",0.344775
"1681","Financial","Komercn<ed> banka as",NA,NA
"1682","Financial","Healthcare","Moderate_sell",0.3537
"1683","Financial","CapitaLand Commercial",NA,NA
"1684","Services","SYNNEX","Hold",0.4800625
"1685","Financial","Jefferies",NA,NA
"1686","Technology","Momo","Moderate_buy",0.739925
"1687","Consumer Goods","Columbia Sportswear",NA,NA
"1688","Services","Gap","Moderate_sell",0.412
"1689",NA,"10x Genomics","Hold",0.5
"1690","Healthcare","Hikma Pharmaceuticals",NA,NA
"1691","Technology","Wix",NA,NA
"1692","Healthcare","Penumbra",NA,NA
"1693","Consumer Goods","Berry Plastics","Hold",0.5712125
"1694","Industrial Goods","Generac Holdings","Moderate_buy",0.6236375
"1695","Technology","Pegasystems","Hold",0.480025
"1696","Industrial Goods","Oshkosh","Moderate_sell",0.349475
"1697","Financial","Bancolombia","Hold",0.5774
"1698","Technology","Sabre",NA,NA
"1699","Services","J Sainsbury",NA,NA
"1700","Technology","GDS Holdings","Hold",0.4778375
"1701","Healthcare","Horizon Pharma",NA,NA
"1702","Utilities","Centrica",NA,NA
"1703","Industrial Goods","ITT","Moderate_buy",0.731725
"1704","Healthcare","Haemonetics","Hold",0.46675
"1705","Materials","Impala Platinum","Hold",0.4786
"1706","Industrial Goods","NWS Holdings",NA,NA
"1707","Services","Teladoc","Hold",0.485625
"1708","Services","SJM Holdings",NA,NA
"1709","Consumer Goods","Sonoco Products",NA,NA
"1710","Technology","Iqiyi","Moderate_sell",0.3386375
"1711","Industrial Goods","IAA","Moderate_buy",0.625
"1712","Consumer Goods","Kimberly-Clark de Mexico SAB de CV",NA,NA
"1713","Services","Planet Fitness","Hold",0.5490875
"1714","Consumer Goods","Flex",NA,NA
"1715","Services","Square Enix Holdings Co",NA,NA
"1716","Technology","SolarWinds",NA,NA
"1717","Consumer Goods","Konami Holdings",NA,NA
"1718","Technology","Caci International",NA,NA
"1719","Consumer Goods","ICL-Israel Chemicals",NA,NA
"1720","Consumer Goods","Polaris","Hold",0.511875
"1721","Services","Ingenico Group - GCS",NA,NA
"1722","Financial","Cubesmart",NA,NA
"1723","Financial","Cousins Properties","Moderate_sell",0.458325
"1724","Industrial Goods","Ryohin Keikaku Co",NA,NA
"1725","Healthcare","Guangzhou Baiyunshan Pharmaceutical Holdings Company",NA,NA
"1726","Consumer Goods","Gildan Activewear","Moderate_sell",0.39555
"1727","Consumer Goods","Jabil Circuit","Moderate_sell",0.3398375
"1728","Materials","Quanta Services","Moderate_sell",0.35075
"1729","Services","Nordstrom","Hold",0.5786875
"1730","Utilities","Grupo Aeroportuario del Pacifico SAB de CV",NA,NA
"1731","Financial","Bok Financial",NA,NA
"1732","Healthcare","Grifols SA",NA,NA
"1733","Industrial Goods","Agco","Moderate_buy",0.619275
"1734","Technology","Zynga","Strong_sell",0.158975
"1735","Technology","Avalara","Moderate_buy",0.6625
"1736","Consumer Goods","Ciena","Hold",0.4938125
"1737","Technology","Computershare",NA,NA
"1738","Financial","OneMain Holdings","Moderate_sell",0.43105
"1739","Utilities","China Resources Power Holdings Co",NA,NA
"1740","Consumer Goods","Curtiss-Wright","Strong_sell",0.307525
"1741","Financial","Cullen/Frost Bankers","Hold",0.46565
"1742","Technology","Cloudflare","Hold",0.545
"1743","Healthcare","Peptidream",NA,NA
"1744","Consumer Goods","Sealed Air","Strong_sell",0.2744625
"1745","Consumer Goods","First Solar","Moderate_buy",0.74865
"1746","Utilities","Mdu Resources Group","Moderate_sell",0.441425
"1747","Materials","Zoomlion Heavy Industry Science & Technology Co",NA,NA
"1748","Consumer Goods","MKS Instruments","Moderate_sell",0.348225
"1749","Services","Altice Europe",NA,NA
"1750","Services","Crown Resorts",NA,NA
"1751","Industrial Goods","Allison Transmission Holdings",NA,NA
"1752","Services","MGM China",NA,NA
"1753","Consumer Goods","BWX Technologies",NA,NA
"1754","Services","Stericycle",NA,NA
"1755","Consumer Goods","United Micro","Moderate_buy",0.6132
"1756","Healthcare","Taisho Pharmaceutical Holdings Co",NA,NA
"1757","Healthcare","Syneos Health",NA,NA
"1758","Services","EasyJet","Moderate_sell",0.42
"1759","Consumer Goods","Lumentum Holdings","Moderate_sell",0.431125
"1760","Services","International Consolidated Airlines",NA,NA
"1761","Financial","TFS Financial",NA,NA
"1762","Services","Mazda Motor",NA,NA
"1763","Financial","Park Hotels & Resorts","Moderate_sell",0.395
"1764","Services","PERSOL HOLDINGS CO",NA,NA
"1765","Materials","Cemex SAB","Moderate_buy",0.65885
"1766","Healthcare","Argenx Se",NA,NA
"1767","Industrial Goods","Lincoln Electric Holdings",NA,NA
"1768",NA,"Pigeon",NA,NA
"1769","Consumer Goods","Toll Brothers","Hold",0.482475
"1770","Materials","Impala Platinum Holdings",NA,NA
"1771","Services","Capri Holdings","Hold",0.5214
"1772","Consumer Goods","Harley-Davidson","Moderate_sell",0.4162125
"1773","Technology","China Railway Signal & Communication",NA,NA
"1774","Consumer Goods","Scotts Miracle-Gro Company","Hold",0.48965
"1775","Materials","LANXESS",NA,NA
"1776","Financial","Chongqing Rural Commercial Bank Co",NA,NA
"1777","Financial","Synovus",NA,NA
"1778","Financial","First Citizens BancShares",NA,NA
"1779","Materials","Beijing Enterprises Holdings",NA,NA
"1780",NA,"Coca-Cola Amatil",NA,NA
"1781","Financial","NY Community",NA,NA
"1782","Financial","EPR Properties",NA,NA
"1783","Services","JetBlue Airways","Moderate_buy",0.61745
"1784","Healthcare","Globus Medical",NA,NA
"1785","Technology","Afterpay Touch Group",NA,NA
"1786","Consumer Goods","Ingredion","Hold",0.495675
"1787","Services","MGM China Holdings",NA,NA
"1788","Financial","Hudson Pacific Properties","Hold",0.526475
"1789","Utilities","Flughafen Zurich AG",NA,NA
"1790","Consumer Goods","Mazda Motor",NA,NA
"1791","Financial","Primerica","Moderate_sell",0.456475
"1792","Services","Nikon",NA,NA
"1793","Technology","Smartsheet","Moderate_buy",0.66475
"1794","Consumer Goods","Newmarket","Hold",0.5529
"1795","Technology","National Instruments",NA,NA
"1796","Technology","KT","Moderate_sell",0.3237
"1797","Services","Wyndham Hotels & Resorts",NA,NA
"1798","Services","Performance Food Group","Hold",0.529325
"1799","Materials","FRESNILLO","Moderate_sell",0.375
"1800","Materials","Ultrapar Participacoes SA",NA,NA
"1801","Consumer Goods","ASM International","Hold",0.475
"1802","Financial","Clarivate Analytics","Hold",0.5695125
"1803","Financial","Nihon M&A Center",NA,NA
"1804","Healthcare","Ascendis Pharma",NA,NA
"1805","Services","Just Eat","Hold",0.5789375
"1806","Financial","Hong Leong Financial Group Bhd",NA,NA
"1807","Services","ManpowerGroup","Moderate_sell",0.456175
"1808","Consumer Goods","Pola Orbis Holdings",NA,NA
"1809","Consumer Goods","Hanesbrands","Hold",0.518575
"1810","Healthcare","Shandong Weigao Group Medical Polymer Co",NA,NA
"1811","Industrial Goods","Panalpina Welttransport Holding AG",NA,NA
"1812","Materials","Kinross Gold","Moderate_sell",0.3902125
"1813","Utilities","Kyushu Railway Company",NA,NA
"1814","Services","Choice Hotels","Moderate_sell",0.3361875
"1815","Financial","First Industrial Realty","Moderate_sell",0.416325
"1816","Financial","GMO Payment Gateway",NA,NA
"1817","Materials","PT United Tractors Tbk",NA,NA
"1818","Financial","Guoco Group",NA,NA
"1819","Services","Williams-Sonoma","Strong_sell",0.3035375
"1820","Financial","Essent Group","Moderate_sell",0.397075
"1821","Healthcare","STADA Arzneimittel Aktiengesellschaft",NA,NA
"1822","Services","Hakuhodo Dy Holdings",NA,NA
"1823","Services","New York Times","Hold",0.5436625
"1824","Financial","Hanover Insurance","Moderate_buy",0.638075
"1825","Financial","Western Alliance","Moderate_sell",0.405375
"1826","Financial","Eaton Vance","Hold",0.562
"1827","Financial","Popular",NA,NA
"1828","Financial","Discovery",NA,NA
"1829","Consumer Goods","Nikon",NA,NA
"1830","Financial","JBG Smith Properties","Moderate_sell",0.33805
"1831","Technology","Manhattan Associates","Hold",0.5356
"1832","Technology","Spark New Zealand",NA,NA
"1833","Materials","Hitachi Metals",NA,NA
"1834","Services","Genting Berhad",NA,NA
"1835","Consumer Goods","Coca-Cola Amatil",NA,NA
"1836","Financial","RHB Bank Bhd",NA,NA
"1837","Services","Servicemaster Global Holdings","Moderate_sell",0.33425
"1838","Services","Turkcell Iletisim Hizmetleri AS",NA,NA
"1839","Materials","Sibanye Gold","Hold",0.478825
"1840","Financial","Rexford Realty",NA,NA
"1841","Technology","Advantest",NA,NA
"1842","Technology","ASM Pacific Technology",NA,NA
"1843","Utilities","IdaCorp","Hold",0.477175
"1844","Services","L Brands","Moderate_sell",0.4349875
"1845","Technology","Seiko Epson",NA,NA
"1846","Utilities","China Merchants Port Holdings Co",NA,NA
"1847","Technology","Brother Industries",NA,NA
"1848","Consumer Goods","Seiko Epson",NA,NA
"1849","Technology","Weibo","Moderate_sell",0.39295
"1850","Services","Grupo Televisa, S.A.B.","Hold",0.564075
"1851","Utilities","Enel Chile SA",NA,NA
"1852","Technology","China Telecom","Hold",0.5
"1853","Services","Amedisys","Moderate_buy",0.625275
"1854","Technology","Telekom Austria","Moderate_buy",0.625
"1855","Services","Cathay Pacific Airways","Hold",0.5
"1856","Healthcare","Integra Lifesciences",NA,NA
"1857","Materials","Texas Pacific Land",NA,NA
"1858","Financial","Air Lease","Moderate_sell",0.383325
"1859","Financial","Medibank Private",NA,NA
"1860","Financial","Eastgroup Properties",NA,NA
"1861","Technology","Realpage",NA,NA
"1862","Technology","51Job","Hold",0.497225
"1863","Financial","Metropolitan Bank & Co",NA,NA
"1864","Financial","Radian Group","Hold",0.5591
"1865","Consumer Goods","Bosideng International Holdings",NA,NA
"1866","Services","Brilliance China Automotive Holdings",NA,NA
"1867","Industrial Goods","Acuity Brands","Moderate_sell",0.3565
"1868","Services","Churchill Downs","Strong_sell",0.3084
"1869","General","China Coal Energy Co",NA,NA
"1870","Materials","PT Semen Indonesia (Persero) Tbk",NA,NA
"1871","Materials","Hitachi Construction Machinery Co",NA,NA
"1872","Financial","Marriot Vacations","Hold",0.4865125
"1873","Technology","Turkcell Iletisim","Hold",0.50155
"1874","Services","Etsy","Hold",0.508825
"1875","Services","Tech Data","Moderate_buy",0.6613125
"1876","General","United Energy Group",NA,NA
"1877","Technology","Nuance Communications",NA,NA
"1878","Materials","Encana","Moderate_sell",0.3997
"1879","Financial","Life Storage","Hold",0.534
"1880","Services","Toppan Printing Co",NA,NA
"1881","Consumer Goods","Beyond Meat","Moderate_buy",0.7024375
"1882","Consumer Goods","Coca-Cola Bottlers Japan Holdings",NA,NA
"1883","Consumer Goods","Huntsman","Strong_sell",0.2425
"1884","Materials","Sibanye-Stillwater",NA,NA
"1885","Materials","Aluminum of China",NA,NA
"1886",NA,"Hitachi Construction Machinery Co",NA,NA
"1887","Utilities","Aboitiz Power",NA,NA
"1888","Materials","Xinjiang Goldwind Science & Technology Co",NA,NA
"1889","Services","BAIC Motor",NA,NA
"1890","Materials","MasTec","Hold",0.5905
"1891","Services","Kirby",NA,NA
"1892","Healthcare","Exelixis","Moderate_sell",0.441375
"1893","Technology","Science Applications","Hold",0.459625
"1894","Materials","BlueScope Steel",NA,NA
"1895","Industrial Goods","NSK",NA,NA
"1896","Financial","Hiscox",NA,NA
"1897","Financial","Highwoods Properties",NA,NA
"1898","Financial","MGIC Investment","Moderate_sell",0.4432875
"1899","Healthcare","Shanghai Pharmaceuticals Holding Co",NA,NA
"1900","Industrial Goods","Trex Company",NA,NA
"1901","Industrial Goods","Kansai Paint Co",NA,NA
"1902","Healthcare","PT Kalbe Farma Tbk",NA,NA
"1903","Services","Telenet Group Holding","Hold",0.5
"1904","Industrial Goods","Shoprite Holdings",NA,NA
"1905","Financial","First Horizon","Strong_sell",0.277125
"1906","Materials","Bluescope Steel",NA,NA
"1907","Materials","Emcor Group","Hold",0.52435
"1908","Technology","024 Pharma",NA,NA
"1909","Services","Kakaku",NA,NA
"1910","Industrial Goods","Crane Company","Hold",0.5699875
"1911","Services","Globe Telecom",NA,NA
"1912","Services","Air France KLM","Moderate_sell",0.41345
"1913","Services","Nexstar Media Group","Hold",0.5407375
"1914","Financial","Axis Capital","Moderate_sell",0.4426625
"1915","Financial","Guangzhou R&F Properties Co",NA,NA
"1916","Utilities","Portland GE",NA,NA
"1917","Industrial Goods","Impulsora del Desarrollo y el Empleo en America Latina SAB",NA,NA
"1918","Financial","Growthpoint Properties",NA,NA
"1919",NA,"Cogna Educacao SA",NA,NA
"1920","Services","Bidvest Group",NA,NA
"1921","Services","Wendy's","Moderate_sell",0.3180625
"1922","Services","Genting Bhd",NA,NA
"1923","Financial","Kemper","Moderate_sell",0.386775
"1924","Technology","Alliance Data Systems","Moderate_sell",0.321025
"1925","Financial","Blackstone Mortgage",NA,NA
"1926","Utilities","Cathay Pacific Airways",NA,NA
"1927","Consumer Goods","PT Indofood Sukses Makmur Tbk",NA,NA
"1928","Services","H&R Block","Strong_sell",0.283
"1929","Technology","Micro Focus International","Hold",0.518475
"1930","Materials","KGHM Polska Miedz SA",NA,NA
"1931","Services","World Wrestling","Hold",0.551475
"1932","Materials","Hino Motors",NA,NA
"1933","Services","Floor & Decor Holdings","Moderate_sell",0.375625
"1934","Services","Marks & Spencer","Moderate_sell",0.4519125
"1935","Financial","PS Business Parks",NA,NA
"1936","Consumer Goods","Evolution Gaming Group AB",NA,NA
"1937","Services","Cielo SA","Hold",0.5
"1938","Services","Grupo Aeroportuario del Pacifico","Hold",0.588325
"1939","Materials","Tetra Tech","Moderate_sell",0.39825
"1940","Utilities","Tohoku Electric Power Company",NA,NA
"1941","Consumer Goods","MSA Safety","Hold",0.489575
"1942","Industrial Goods","Beijing Enterprises Water Group",NA,NA
"1943","Financial","Israel Discount Bank",NA,NA
"1944","Services","Carvana Co","Moderate_buy",0.7036125
"1945","Industrial Goods","Worley",NA,NA
"1946","Consumer Goods","Brunswick","Hold",0.548
"1947","Consumer Goods","Seaboard","Hold",0.487525
"1948","Materials","LIXIL Group",NA,NA
"1949","Financial","Howard Hughes",NA,NA
"1950","Industrial Goods","Weir Group",NA,NA
"1951","Materials","Industrias Penoles SAB de CV",NA,NA
"1952","Services","Maximus","Hold",0.483025
