"","Sector","Company","sentiment_bins","mean_sentiments"
"261","Consumer Goods","Honda Motor Company","Moderate_sell",0.433475
"262","Services","Honda Motor Co",NA,NA
"263","Financial","Sumitomo Mitsui Financial Group",NA,NA
"264","Financial","Bank Of Montreal","Hold",0.6061
"265","Consumer Goods","Bayerische Motoren Werke Aktiengesellschaft","Moderate_sell",0.423475
"266","Financial","Equinix",NA,NA
"267","Utilities","Suncor Energy","Moderate_buy",0.6154375
"268","Services","Wal-Mart de Mexico","Moderate_sell",0.38875
"269","Services","Las Vegas Sands","Strong_sell",0.298625
"270","Industrial Goods","Wal-Mart de Mexico SAB de CV",NA,NA
"271","Consumer Goods","DuPont de Nemours","Hold",0.4877625
"272","Healthcare","Siemens Healthineers AG",NA,NA
"273","Financial","DBS Group Holdings",NA,NA
"274","Materials","Waste Management","Hold",0.4794375
"275","Financial","Aon","Hold",0.482225
"276","Financial","Australia & New Zealand Banking Group",NA,NA
"277","Materials","TC Energy","Hold",0.476225
"278","Healthcare","Illumina","Moderate_sell",0.45155
"279","Services","Relx",NA,NA
"280","Financial","Australia and New Zealand Banking Group",NA,NA
"281","Healthcare","HCA Healthcare","Moderate_buy",0.679825
"282","Materials","BHP Billiton","Hold",0.48415
"283","Financial","DBS Group","Moderate_sell",0.35
"284","Consumer Goods","Kimberly Clark","Hold",0.50525
"285","Financial","Capital One Financial","Moderate_sell",0.4471875
"286","Industrial Goods","ABB","Moderate_sell",0.433925
"287","Financial","Simon Property","Moderate_sell",0.417975
"288","Services","Nintendo Co",NA,NA
"289","Consumer Goods","Oriental Land Co",NA,NA
"290","Consumer Goods","Nintendo Co","Moderate_sell",0.3375
"291","Financial","Bank of Communications Co",NA,NA
"292","Financial","Prudential","Hold",0.515175
"293","Services","Deutsche Post",NA,NA
"294","Financial","Metlife","Moderate_sell",0.338475
"295","Services","Marriott International","Moderate_buy",0.624875
"296","Financial","American International Group","Moderate_sell",0.374075
"297","Financial","Icici Bank",NA,NA
"298","Services","Humana","Hold",0.59975
"299","Financial","BNY Mellon","Moderate_buy",0.647025
"300","Utilities","American Electric Power","Hold",0.468025
"301","Industrial Goods","Emerson Electric Company","Hold",0.5753625
"302","Financial","ING Group",NA,NA
"303","Materials","Nidec",NA,NA
"304","Consumer Goods","L3Harris Technologies","Moderate_sell",0.372625
"305","Consumer Goods","Kinder Morgan","Hold",0.5515375
"306","Financial","Intesa Sanpaolo",NA,NA
"307","Financial","UBS Group AG","Moderate_sell",0.3917
"308","Industrial Goods","Nidec","Hold",0.495
"309","Technology","Advanced Micro Devices","Hold",0.6020375
"310","Consumer Goods","Keurig Dr Pepper","Moderate_sell",0.3470125
"311","Technology","BCE","Hold",0.48645
"312","Technology","Orange SA","Moderate_sell",0.3625
"313","Industrial Goods","Shin-Etsu Chemical Co",NA,NA
"314","Utilities","Exelon","Hold",0.5209375
"315","Services","Moody's","Hold",0.4675875
"316","Financial","Progressive","Hold",0.4666875
"317","Technology","Infosys","Moderate_sell",0.3646625
"318","Materials","DAIKIN INDUSTRIES",NA,NA
"319","Technology","Activision Blizzard","Moderate_buy",0.7347625
"320","Financial","Sun Hung Kai Properties",NA,NA
"321","Services","Ross Stores","Hold",0.546375
"322","Consumer Goods","Koninklijke Philips","Hold",0.5982625
"323","Financial","BB&T",NA,NA
"324","Healthcare","Baxter International","Moderate_buy",0.6189625
"325","Services","FedEx","Moderate_buy",0.6453
"326","Technology","Analog Devices","Hold",0.4891
"327","Materials","MMC Norilsk Nickel PJSC",NA,NA
"328","Healthcare","Daiichi Sankyo Company",NA,NA
"329","Utilities","Sempra Energy","Hold",0.49375
"330","Utilities","Central Japan Railway Company",NA,NA
"331","Materials","Glencore","Hold",0.463325
"332","Financial","Muenchener Rueckversicherungs",NA,NA
"333","Materials","EOG Resources","Moderate_buy",0.6359375
"334","Services","Sysco","Moderate_sell",0.32845
"335","Technology","Dassault Systemes SA",NA,NA
"336","Consumer Goods","Japan Tobacco",NA,NA
"337","Technology","Workday","Moderate_buy",0.7306375
"338","Healthcare","Regeneron","Moderate_buy",0.6393625
"339","Services","Dollar General","Moderate_buy",0.630975
"340","Services","China Tower",NA,NA
"341","Technology","NetEase","Hold",0.52805
"342","Financial","AFLAC","Hold",0.558125
"343",NA,"Mitsubishi",NA,NA
